county,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,max,min
29065,0.1410852006290726,1.1733169852499163,0.4750503345301856,0.9458653827642752,0.9377451901789168,0.0140292254115902,0.2821704012581452,0.6161354262673862,0.3339653891786467
29067,0.1265236284550019,1.1197609483350168,0.4490723042393531,0.9627056294550368,0.9571114738732924,0.0076130475478382,0.2530472569100038,0.5755957261732234,0.32254878902683
29069,0.1382896582723483,1.1833725921394014,0.4568732244832885,0.948347168516644,0.9405992437941406,0.0128342749574248,0.2765793165446966,0.5951624423675509,0.3185835928790747
29071,0.1523438389061295,1.2489613562271402,0.4489215034034033,0.9505822075255138,0.9431695386543408,0.0149158514552777,0.304687677812259,0.6012652548137215,0.296577991826861
29073,0.1366442962505519,1.2457590630057147,0.4187492514419501,0.9591864739246696,0.9530644450133702,0.0098202763956492,0.2732885925011038,0.555393270172306,0.2821050423258193
29075,0.1481706120481326,1.1947666242864023,0.4414034354149622,0.9460915050140236,0.9380052307661272,0.015423373824082,0.2963412240962652,0.5895739146767837,0.2932330649934834
29077,0.1319412298464245,1.078760630820327,0.4642133810296036,0.9517742642934132,0.9445404039374252,0.0108005351210172,0.263882459692849,0.5961544708951794,0.3322723391726828
29079,0.1498634272495616,1.1757846227607778,0.4494368058728706,0.9477604726404748,0.939924543536546,0.0152467185840317,0.2997268544991232,0.5993001206399966,0.2995736547163196
29081,0.1578421362446075,1.1953588979439271,0.4333802065269125,0.9458104200768156,0.9376819830883378,0.0175995843081175,0.315684272489215,0.5912220484761121,0.2755381865344053
29083,0.1358387505548044,1.1867819175417906,0.4643770189549766,0.9463441954545264,0.9382958247727052,0.0128931898197754,0.2716775011096088,0.6002157608802945,0.3285387964431031
29085,0.100099387286985,1.0642651197828843,0.4460013107584959,0.9648753495715172,0.9596066520072448,0.004461989494246,0.20019877457397,0.5461002723973638,0.3459019260844221
29087,0.1316387683551337,1.138898016113448,0.4092779967116682,0.9439309082843506,0.9355205445270032,0.0126507821172962,0.2632775367102674,0.540916481550585,0.2776393036129024
29089,0.1379866932237418,1.1606233894373723,0.4126756071216005,0.9524282528743782,0.9452924908055348,0.0117032410193961,0.2759733864474836,0.5506621732833022,0.2746891343820009
29091,0.1352711798637896,1.139753235266703,0.4620211599454621,0.949598667519558,0.9420384676474916,0.0119371574857079,0.2705423597275792,0.5972917588999338,0.3267499831811087
29093,0.10571674260198,1.163718089791925,0.4209714677897646,0.9620092533036776,0.9563106412992288,0.0054322200395139,0.21143348520396,0.5266880507945721,0.3152548298456821
29095,0.1214051476289995,1.0825651315579123,0.442249509563551,0.958289550533873,0.952032983113954,0.0078572222613911,0.242810295257999,0.5636543225793493,0.32084440048366
29097,0.1357387423700513,1.1109974494584751,0.4559004588967189,0.95042423000264,0.9429878645030358,0.0117920775661344,0.2714774847401026,0.5916391710526712,0.3201621331155149
29099,0.1626766358444451,1.263344042799302,0.4774624051934018,0.9471911797690872,0.9392698567344504,0.0182519248935415,0.3253532716888902,0.6401389974571694,0.3147862428513409
29101,0.1385178515025189,1.1772075517349785,0.4518823777002869,0.951743253405321,0.9445047414161192,0.0119830742401298,0.2770357030050378,0.5903997435161911,0.313364543277901
29103,0.1422235936207164,1.155942354288099,0.4121025841535466,0.9571168013606888,0.950684321564792,0.0111497241460432,0.2844471872414328,0.5543261732811774,0.2698795858529835
29105,0.1453876010860524,1.2271520023975455,0.4631735845297636,0.9566185347899588,0.9501113150084526,0.0118378059431832,0.2907752021721048,0.6085608087882997,0.3177860382064982
